Status,Task name,Due,Area,Project
Not Started,Develop a customer feedback system,"February 1, 2023",Additional tasks (Global%20Tags%20549d6d86f7e5471fac5caaa622d50231/Additional%20tasks%2000253d9ead6b486b88daa19673d6389b.csv),
Not Started,"Deploy website ","February 3, 2023",,
Not Started,,,,ADTI: Knowledge Base (Projects%2083c1b41ad3c44505a96fd9fbf57110d2/ADTI%20Knowledge%20Base%20c7b01eb0b6fb40dcb0fde24f7f795ebe.csv)
Not Started,Offshore Wind Visualization,,,
Not Started,ABB Software and Offerings Mapping,,,
Not Started,Innovation Lab Setup,,,
Not Started,Digital Twin Project Planning and Execution,,,
Not Started,Conference Summary and Exploration:,,,
In Progress,"Digital Twins Visualization

","June 25, 2023",Articles (Global%20Tags%20549d6d86f7e5471fac5caaa622d50231/Articles%20cb999892b49a4b8895518d8c2327c34f.csv),ADTI: Knowledge Base (Projects%2083c1b41ad3c44505a96fd9fbf57110d2/ADTI%20Knowledge%20Base%20c7b01eb0b6fb40dcb0fde24f7f795ebe.csv)
Done,Invite team members,"January 16, 2023",Work (Global%20Tags%20549d6d86f7e5471fac5caaa622d50231/Work%20f4854a3896ab401cb371951ddb316e4d.csv),